ymd,area_1,area_2,天気概況（昼：06時～18時）品質情報,天気概況（昼：06時～18時）均質番号,天気概況（昼：06時～18時）計測値,平均気温（℃）品質情報,平均気温（℃）均質番号,平均気温（℃）計測値,最低気温（℃）品質情報,最低気温（℃）均質番号,最低気温（℃）計測値,最深積雪（cm）品質情報,最深積雪（cm）均質番号,最深積雪（cm）現象なし情報,最深積雪（cm）計測値,最高気温（℃）品質情報,最高気温（℃）均質番号,最高気温（℃）計測値,降水量の合計（mm）品質情報,降水量の合計（mm）均質番号,降水量の合計（mm）現象なし情報,降水量の合計（mm）計測値
2020/1/1,石狩,札幌,8,1,雪後曇一時晴,8,1,-5.8,8,1,-7.3,8,1,0,6,8,1,-4.1,8,1,0,2.5
2020/1/1,大阪,大阪,8,1,晴後一時曇,8,1,6.9,8,1,3.7,8,1,1,0,8,1,10.7,8,1,1,0
2020/1/1,熊本,南阿蘇,0,1,,8,1,-0.2,8,1,-4.9,8,1,,0,8,1,7.4,8,1,,0.0
2020/1/1,沖縄,那覇,8,1,曇,8,1,17.0,8,1,15.8,8,1,1,0,8,1,19.0,8,1,1,0
2020/1/1,東京,東京,8,1,晴,8,1,5.5,8,1,3.2,8,1,1,0,8,1,10.2,8,1,1,0
2020/1/2,石狩,札幌,8,1,曇時々雪一時晴,8,1,-4.0,8,1,-7.1,8,1,0,4,8,1,-2.4,8,1,0,0.0
2020/1/2,大阪,大阪,8,1,晴,8,1,8.2,8,1,3.0,8,1,1,0,8,1,11.8,8,1,1,0
2020/1/2,熊本,南阿蘇,0,1,,8,1,1.5,8,1,-4.3,8,1,,0,8,1,9.1,8,1,,0.0
2020/1/2,沖縄,那覇,8,1,薄曇一時晴,8,1,17.9,8,1,15.8,8,1,1,0,8,1,20.4,8,1,1,0
2020/1/2,東京,東京,8,1,晴一時曇,8,1,6.2,8,1,1.9,8,1,1,0,8,1,11.3,8,1,1,0
2020/1/3,石狩,札幌,8,1,曇時々雪,8,1,-2.5,8,1,-5.4,8,1,0,4,8,1,-0.1,8,1,0,0.5
2020/1/3,大阪,大阪,8,1,晴一時曇,8,1,10.3,8,1,6.6,8,1,1,0,8,1,13.5,8,1,1,0
2020/1/3,熊本,南阿蘇,0,1,,8,1,5.2,8,1,1.2,8,1,,0,8,1,9.7,8,1,,0.0
2020/1/3,沖縄,那覇,8,1,晴,8,1,18.0,8,1,15.1,8,1,1,0,8,1,21.3,8,1,1,0
2020/1/3,東京,東京,8,1,快晴,8,1,6.1,8,1,1.4,8,1,1,0,8,1,12.0,8,1,1,0
2020/1/4,石狩,札幌,8,1,雪後晴,8,1,-5.0,8,1,-7.4,8,1,0,6,8,1,-1.8,8,1,0,1.5
2020/1/4,大阪,大阪,8,1,晴時々曇,8,1,9.6,8,1,6.4,8,1,1,0,8,1,12.5,8,1,0,0.0
2020/1/4,熊本,南阿蘇,0,1,,8,1,4.0,8,1,-2.8,8,1,,0,8,1,10.0,8,1,,0.0
2020/1/4,沖縄,那覇,8,1,晴,8,1,18.7,8,1,15.0,8,1,1,0,8,1,21.9,8,1,0,0.0
2020/1/4,東京,東京,8,1,曇時々晴,8,1,7.2,8,1,3.6,8,1,1,0,8,1,12.2,8,1,0,0.0
2020/1/5,石狩,札幌,8,1,雪時々曇一時晴、あられを伴う,8,1,-4.7,8,1,-8.6,8,1,0,8,8,1,-1.8,8,1,0,2.0
2020/1/5,大阪,大阪,8,1,晴時々曇一時みぞれ、あられを伴う,8,1,7.0,8,1,5.3,8,1,1,0,8,1,10.3,8,1,0,0.0
2020/1/5,熊本,南阿蘇,0,1,,8,1,3.2,8,1,-2.6,8,1,,0,8,1,12.0,8,1,,0.0
2020/1/5,沖縄,那覇,8,1,晴一時曇,8,1,19.2,8,1,17.3,8,1,1,0,8,1,22.1,8,1,0,0.0
2020/1/5,東京,東京,8,1,快晴,8,1,5.4,8,1,0.6,8,1,1,0,8,1,10.2,8,1,0,1.0
2020/1/6,石狩,札幌,8,1,雪時々曇,8,1,-0.9,8,1,-3.2,8,1,0,7,8,1,0.5,8,1,0,1.5
2020/1/6,大阪,大阪,8,1,晴後曇,8,1,7.2,8,1,2.7,8,1,1,0,8,1,11.0,8,1,1,0
2020/1/6,熊本,南阿蘇,0,1,,8,1,6.1,8,1,-1.2,8,1,,0,8,1,13.3,8,1,,0.0
2020/1/6,沖縄,那覇,8,1,晴時々曇,8,1,19.9,8,1,16.1,8,1,1,0,8,1,23.1,8,1,1,0
2020/1/6,東京,東京,8,1,晴後一時曇,8,1,7.5,8,1,3.1,8,1,1,0,8,1,12.2,8,1,1,0
2020/1/7,石狩,札幌,8,1,曇,8,1,-0.9,8,1,-5.1,8,1,0,8,8,1,1.0,8,1,0,1.5
2020/1/7,大阪,大阪,8,1,雨時々曇,8,1,6.7,8,1,5.4,8,1,1,0,8,1,8.7,8,1,0,2.0
2020/1/7,熊本,南阿蘇,0,1,,8,1,14.0,8,1,9.7,8,1,,0,8,1,19.2,8,1,,0.0
2020/1/7,沖縄,那覇,8,1,晴時々薄曇,8,1,21.9,8,1,19.1,8,1,1,0,8,1,24.4,8,1,1,0
2020/1/7,東京,東京,8,1,曇後雨,8,1,5.7,8,1,3.9,8,1,1,0,8,1,8.2,8,1,0,2.0
2020/1/8,石狩,札幌,8,1,曇後雪,8,1,-2.7,8,1,-5.4,8,1,0,9,8,1,1.6,8,1,0,2.0
2020/1/8,大阪,大阪,8,1,晴一時雨後時々曇,8,1,11.9,8,1,8.5,8,1,1,0,8,1,16.5,8,1,0,17.0
2020/1/8,熊本,南阿蘇,0,1,,8,1,9.6,8,1,4.8,8,1,,0,8,1,17.9,8,1,,45.0
2020/1/8,沖縄,那覇,8,1,曇時々晴一時雨,8,1,19.4,8,1,16.7,8,1,1,0,8,1,22.9,8,1,0,0.0
2020/1/8,東京,東京,8,1,曇一時雨,8,1,5.2,8,1,3.8,8,1,1,0,8,1,7.6,8,1,0,11.5
2020/1/9,石狩,札幌,8,1,晴後曇,8,1,-1.6,8,1,-4.9,8,1,0,9,8,1,1.4,8,1,1,0
2020/1/9,大阪,大阪,8,1,晴一時曇,8,1,10.9,8,1,8.8,8,1,1,0,8,1,13.4,8,1,0,0.0
2020/1/9,熊本,南阿蘇,0,1,,8,1,7.2,8,1,5.2,8,1,,0,8,1,10.2,8,1,,0.0
2020/1/9,沖縄,那覇,8,1,曇後一時晴,8,1,17.7,8,1,16.8,8,1,1,0,8,1,18.9,8,1,1,0
2020/1/9,東京,東京,8,1,晴後一時曇,8,1,10.6,8,1,4.6,8,1,1,0,8,1,14.9,8,1,0,0.0
2020/1/10,石狩,札幌,8,1,晴,8,1,-2.7,8,1,-5.8,8,1,0,8,8,1,1.1,8,1,1,0
2020/1/10,大阪,大阪,8,1,晴後一時曇,8,1,9.1,8,1,6.1,8,1,1,0,8,1,13.2,8,1,0,0.0
2020/1/10,熊本,南阿蘇,0,1,,8,1,5.8,8,1,0.9,8,1,,0,8,1,12.3,8,1,,0.0
2020/1/10,沖縄,那覇,8,1,晴時々曇,8,1,18.0,8,1,15.1,8,1,1,0,8,1,21.1,8,1,0,0.0
2020/1/10,東京,東京,8,1,晴,8,1,8.4,8,1,5.5,8,1,1,0,8,1,12.6,8,1,0,0.0
2020/1/11,石狩,札幌,8,1,曇時々雪後晴,8,1,-1.6,8,1,-4.9,8,1,0,8,8,1,3.2,8,1,0,0.0
2020/1/11,大阪,大阪,8,1,薄曇後晴,8,1,7.9,8,1,4.2,8,1,1,0,8,1,12.3,8,1,1,0
2020/1/11,熊本,南阿蘇,0,1,,8,1,5.2,8,1,0.0,8,1,,0,8,1,11.9,8,1,,0.0
