ダウンロードした時刻：2024/01/3023:37:52

,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温（℃）,平均気温（℃）,平均気温（℃）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,最高気温（℃）,最高気温（℃）,最高気温（℃）,最低気温（℃）,最低気温（℃）,最低気温（℃）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,平均気温（℃）,平均気温（℃）,平均気温（℃）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,最高気温（℃）,最高気温（℃）,最高気温（℃）,最低気温（℃）,最低気温（℃）,最低気温（℃）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,平均気温（℃）,平均気温（℃）,平均気温（℃）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,最高気温（℃）,最高気温（℃）,最高気温（℃）,最低気温（℃）,最低気温（℃）,最低気温（℃）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,平均気温（℃）,平均気温（℃）,平均気温（℃）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,最高気温（℃）,最高気温（℃）,最高気温（℃）,最低気温（℃）,最低気温（℃）,最低気温（℃）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,平均気温（℃）,平均気温（℃）,平均気温（℃）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,最高気温（℃）,最高気温（℃）,最高気温（℃）,最低気温（℃）,最低気温（℃）,最低気温（℃）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2020/1/1,-5.8,8,1,2.5,0,8,1,雪後曇一時晴,8,1,-4.1,8,1,-7.3,8,1,6,0,8,1,6.9,8,1,0,1,8,1,晴後一時曇,8,1,10.7,8,1,3.7,8,1,0,1,8,1,-0.2,8,1,0.0,8,1,,0,1,7.4,8,1,-4.9,8,1,0,8,1,17.0,8,1,0,1,8,1,曇,8,1,19.0,8,1,15.8,8,1,0,1,8,1,5.5,8,1,0,1,8,1,晴,8,1,10.2,8,1,3.2,8,1,0,1,8,1
2020/1/2,-4.0,8,1,0.0,0,8,1,曇時々雪一時晴,8,1,-2.4,8,1,-7.1,8,1,4,0,8,1,8.2,8,1,0,1,8,1,晴,8,1,11.8,8,1,3.0,8,1,0,1,8,1,1.5,8,1,0.0,8,1,,0,1,9.1,8,1,-4.3,8,1,0,8,1,17.9,8,1,0,1,8,1,薄曇一時晴,8,1,20.4,8,1,15.8,8,1,0,1,8,1,6.2,8,1,0,1,8,1,晴一時曇,8,1,11.3,8,1,1.9,8,1,0,1,8,1
2020/1/3,-2.5,8,1,0.5,0,8,1,曇時々雪,8,1,-0.1,8,1,-5.4,8,1,4,0,8,1,10.3,8,1,0,1,8,1,晴一時曇,8,1,13.5,8,1,6.6,8,1,0,1,8,1,5.2,8,1,0.0,8,1,,0,1,9.7,8,1,1.2,8,1,0,8,1,18.0,8,1,0,1,8,1,晴,8,1,21.3,8,1,15.1,8,1,0,1,8,1,6.1,8,1,0,1,8,1,快晴,8,1,12.0,8,1,1.4,8,1,0,1,8,1
2020/1/4,-5.0,8,1,1.5,0,8,1,雪後晴,8,1,-1.8,8,1,-7.4,8,1,6,0,8,1,9.6,8,1,0.0,0,8,1,晴時々曇,8,1,12.5,8,1,6.4,8,1,0,1,8,1,4.0,8,1,0.0,8,1,,0,1,10.0,8,1,-2.8,8,1,0,8,1,18.7,8,1,0.0,0,8,1,晴,8,1,21.9,8,1,15.0,8,1,0,1,8,1,7.2,8,1,0.0,0,8,1,曇時々晴,8,1,12.2,8,1,3.6,8,1,0,1,8,1
2020/1/5,-4.7,8,1,2.0,0,8,1,雪時々曇一時晴、あられを伴う,8,1,-1.8,8,1,-8.6,8,1,8,0,8,1,7.0,8,1,0.0,0,8,1,晴時々曇一時みぞれ、あられを伴う,8,1,10.3,8,1,5.3,8,1,0,1,8,1,3.2,8,1,0.0,8,1,,0,1,12.0,8,1,-2.6,8,1,0,8,1,19.2,8,1,0.0,0,8,1,晴一時曇,8,1,22.1,8,1,17.3,8,1,0,1,8,1,5.4,8,1,1.0,0,8,1,快晴,8,1,10.2,8,1,0.6,8,1,0,1,8,1
2020/1/6,-0.9,8,1,1.5,0,8,1,雪時々曇,8,1,0.5,8,1,-3.2,8,1,7,0,8,1,7.2,8,1,0,1,8,1,晴後曇,8,1,11.0,8,1,2.7,8,1,0,1,8,1,6.1,8,1,0.0,8,1,,0,1,13.3,8,1,-1.2,8,1,0,8,1,19.9,8,1,0,1,8,1,晴時々曇,8,1,23.1,8,1,16.1,8,1,0,1,8,1,7.5,8,1,0,1,8,1,晴後一時曇,8,1,12.2,8,1,3.1,8,1,0,1,8,1
