ダウンロードした時刻：2024/01/3019:23:05

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,石狩,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄,沖縄
,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,札幌,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,南阿蘇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇,那覇
年月日,平均気温（℃）,平均気温（℃）,平均気温（℃）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,最高気温（℃）,最高気温（℃）,最高気温（℃）,最低気温（℃）,最低気温（℃）,最低気温（℃）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,平均気温（℃）,平均気温（℃）,平均気温（℃）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,最高気温（℃）,最高気温（℃）,最高気温（℃）,最低気温（℃）,最低気温（℃）,最低気温（℃）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,平均気温（℃）,平均気温（℃）,平均気温（℃）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,最高気温（℃）,最高気温（℃）,最高気温（℃）,最低気温（℃）,最低気温（℃）,最低気温（℃）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,平均気温（℃）,平均気温（℃）,平均気温（℃）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,最高気温（℃）,最高気温（℃）,最高気温（℃）,最低気温（℃）,最低気温（℃）,最低気温（℃）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,平均気温（℃）,平均気温（℃）,平均気温（℃）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,降水量の合計（mm）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,天気概況（昼：06時～18時）,最高気温（℃）,最高気温（℃）,最高気温（℃）,最低気温（℃）,最低気温（℃）,最低気温（℃）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）,最深積雪（cm）
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,現象なし情報,品質情報,均質番号
2022/1/1,3.4,8,1,0,1,8,1,快晴,8,1,7.8,8,1,-1.0,8,1,0,1,8,1,-7.7,8,1,10.5,0,8,1,雪後一時晴,8,1,-2.3,8,1,-10.4,8,1,45,0,8,1,3.8,8,1,0.0,0,8,1,晴後曇、みぞれを伴う,8,1,7.2,8,1,1.9,8,1,0,1,8,1,0.0,8,1,0.0,8,1,,0,1,8.1,8,1,-5.7,8,1,0,8,1,17.0,8,1,0,1,8,1,晴後曇,8,1,20.1,8,1,13.8,8,1,0,1,8,1
2022/1/2,3.5,8,1,0,1,8,1,曇後晴,8,1,7.9,8,1,0.4,8,1,0,1,8,1,-3.8,8,1,0.5,0,8,1,曇後時々雪,8,1,1.7,8,1,-10.2,8,1,43,0,8,1,4.8,8,1,0,1,8,1,晴,8,1,9.5,8,1,-0.1,8,1,0,1,8,1,1.6,8,1,0.0,8,1,,0,1,9.7,8,1,-3.3,8,1,0,8,1,16.7,8,1,1.5,0,8,1,曇時々雨,8,1,18.0,8,1,15.5,8,1,0,1,8,1
2022/1/3,5.5,8,1,0,1,8,1,晴,8,1,10.5,8,1,0.5,8,1,0,1,8,1,-6.9,8,1,2.5,0,8,1,雪,8,1,-5.1,8,1,-7.6,8,1,43,0,8,1,7.7,8,1,0,1,8,1,晴,8,1,11.5,8,1,3.5,8,1,0,1,8,1,1.9,8,1,0.0,8,1,,0,1,9.7,8,1,-4.3,8,1,0,8,1,18.0,8,1,0,1,8,1,晴,8,1,21.2,8,1,14.2,8,1,0,1,8,1
2022/1/4,5.2,8,1,0,1,8,1,快晴,8,1,12.4,8,1,0.6,8,1,0,1,8,1,-6.3,8,1,4.0,0,8,1,雪時々曇,8,1,-3.3,8,1,-7.7,8,1,44,0,8,1,7.1,8,1,0.0,0,8,1,晴後曇時々雨,8,1,9.9,8,1,4.5,8,1,0,1,8,1,2.1,8,1,0.0,8,1,,0,1,8.0,8,1,-2.3,8,1,0,8,1,18.5,8,1,0,1,8,1,晴後一時曇,8,1,21.5,8,1,15.2,8,1,0,1,8,1
2022/1/5,4.1,8,1,0,1,8,1,快晴,8,1,8.7,8,1,0.6,8,1,0,1,8,1,-2.6,8,1,5.5,0,8,1,雪時々曇,8,1,-0.4,8,1,-6.1,8,1,45,0,8,1,4.9,8,1,0.0,0,8,1,曇時々晴,8,1,8.1,8,1,3.1,8,1,0,1,8,1,2.6,8,1,3.0,8,1,,0,1,8.4,8,1,-3.0,8,1,0,8,1,19.8,8,1,2.0,0,8,1,曇一時晴,8,1,22.7,8,1,17.6,8,1,0,1,8,1
2022/1/6,0.7,8,1,6.5,0,8,1,曇後大雪,8,1,2.6,8,1,-1.7,8,1,10,0,8,1,-5.2,8,1,0.0,0,8,1,晴,8,1,-2.3,8,1,-7.9,8,1,44,0,8,1,4.2,8,1,0.0,0,8,1,雪一時曇後晴、みぞれを伴う,8,1,7.0,8,1,2.6,8,1,0,1,8,1,3.8,8,1,5.0,8,1,,0,1,8.5,8,1,-0.8,8,1,0,8,1,19.5,8,1,1.5,0,8,1,曇一時雨,8,1,21.3,8,1,17.4,8,1,0,1,8,1
2022/1/7,2.6,8,1,0,1,8,1,快晴,8,1,8.4,8,1,-3.5,8,1,9,0,8,1,-5.4,8,1,1.0,0,8,1,曇後晴,8,1,-2.9,8,1,-8.0,8,1,43,0,8,1,5.8,8,1,0,1,8,1,曇後晴,8,1,8.1,8,1,3.8,8,1,0,1,8,1,2.1,8,1,0.0,8,1,,0,1,10.6,8,1,-3.2,8,1,0,8,1,18.4,8,1,0.0,0,8,1,晴時々曇,8,1,21.0,8,1,16.5,8,1,0,1,8,1
